Discord ID,Accumulated Points,Balance
378048007599423491,100,100
909149632389578752,100,100
955688670428549120,100,100
799067892062617632,100,100
928147052054073384,100,100
929041997153579019,100,100
854496185526779905,100,100
835524311547904050,130,130
892057256928104479,130,130
714778516033634325,130,130
433564409051217920,130,130
774329551039365150,130,130
228186428205432833,200,200
920118064861835335,200,200
941208541547601931,200,200
751432663147085825,200,200
937259279990272040,200,200
366046195107233794,50,50
1054733771267645441,50,50
776420905261072384,50,50
469816423208976385,50,50
822858711685005353,50,50
976881123042918420,50,50
419666984519598081,50,50
861141113024282654,50,50
814417065174892574,50,50
646704567597268993,50,50
